"lon","lat"
NaN,NaN
-124.98,41.769
-124.97,41.759
NaN,NaN
-124.91,41.769
-124.91,41.758
NaN,NaN
-124.93,41.768
-124.93,41.757
NaN,NaN
-124.38,41.786
-124.37,41.776
NaN,NaN
-124.97,41.754
-124.97,41.743
NaN,NaN
-124.91,41.753
-124.91,41.742
NaN,NaN
-124.37,41.773
-124.36,41.768
-124.36,41.763
NaN,NaN
-124.94,41.738
-124.94,41.731
-124.94,41.724
NaN,NaN
-124.35,41.76
-124.34,41.751
NaN,NaN
-124.91,41.737
-124.91,41.73
-124.91,41.727
NaN,NaN
-124.34,41.748
-124.33,41.738
NaN,NaN
-124.92,41.723
-124.92,41.719
-124.92,41.712
NaN,NaN
-124.94,41.719
-124.94,41.709
NaN,NaN
-124.33,41.734
-124.32,41.725
NaN,NaN
-124.92,41.708
-124.92,41.697
NaN,NaN
-124.94,41.704
-124.95,41.694
NaN,NaN
-124.32,41.721
-124.31,41.712
NaN,NaN
-124.92,41.692
-124.92,41.679
NaN,NaN
-125.16,41.681
-125.15,41.669
-125.15,41.667
-125.15,41.664
-125.14,41.644
-125.13,41.634
-125.13,41.624
-125.12,41.614
-125.12,41.604
-125.11,41.59
-125.1,41.576
-125.1,41.568
-125.09,41.56
-125.09,41.556
-125.08,41.529
-125.08,41.522
-125.07,41.513
-125.07,41.498
-125.06,41.483
-125.06,41.48
-125.06,41.471
-125.05,41.458
-125.05,41.448
-125.05,41.448
NaN,NaN
-124.95,41.689
-124.95,41.68
-124.95,41.679
NaN,NaN
-124.31,41.707
-124.3,41.699
NaN,NaN
-125.17,41.671
-125.17,41.661
-125.17,41.655
-125.17,41.648
-125.16,41.63
-125.16,41.617
-125.16,41.615
-125.15,41.609
-125.15,41.607
-125.15,41.602
-125.15,41.591
-125.15,41.59
-125.15,41.583
-125.14,41.571
-125.14,41.566
-125.13,41.55
-125.13,41.527
-125.12,41.52
-125.12,41.509
-125.12,41.496
-125.11,41.488
-125.11,41.482
-125.11,41.478
-125.11,41.474
-125.11,41.47
-125.1,41.457
-125.1,41.442
-125.09,41.431
-125.09,41.419
-125.08,41.406
-125.08,41.397
-125.08,41.388
-125.07,41.375
-125.07,41.357
-125.07,41.342
-125.07,41.337
-125.06,41.319
-125.06,41.303
-125.05,41.276
-125.05,41.267
-125.05,41.261
-125.05,41.253
NaN,NaN
-124.95,41.674
-124.96,41.663
NaN,NaN
-124.92,41.674
-124.92,41.663
NaN,NaN
-124.84,41.677
-124.83,41.666
-124.83,41.663
NaN,NaN
-124.3,41.694
-124.29,41.685
NaN,NaN
-124.96,41.659
-124.96,41.648
-124.96,41.642
NaN,NaN
-124.92,41.659
-124.92,41.652
-124.91,41.648
NaN,NaN
-124.29,41.681
-124.28,41.672
NaN,NaN
-124.83,41.659
-124.82,41.65
-124.82,41.647
NaN,NaN
-124.28,41.668
-124.27,41.663
-124.27,41.659
NaN,NaN
-124.91,41.643
-124.91,41.633
NaN,NaN
-124.26,41.656
-124.25,41.648
-124.25,41.645
NaN,NaN
-124.91,41.629
-124.91,41.62
-124.91,41.618
NaN,NaN
-124.24,41.642
-124.24,41.636
-124.24,41.633
NaN,NaN
-124.9,41.613
-124.9,41.601
NaN,NaN
-124.23,41.629
-124.23,41.619
-124.23,41.618
NaN,NaN
-124.22,41.614
-124.22,41.605
NaN,NaN
-124.21,41.601
-124.21,41.591
NaN,NaN
-124.21,41.586
-124.2,41.577
NaN,NaN
-124.9,41.55
-124.89,41.535
NaN,NaN
-124.2,41.574
-124.19,41.565
NaN,NaN
-124.18,41.56
-124.18,41.551
NaN,NaN
-124.89,41.531
-124.88,41.521
NaN,NaN
-124.17,41.546
-124.17,41.537
NaN,NaN
-124.88,41.517
-124.88,41.513
-124.87,41.508
NaN,NaN
-124.17,41.532
-124.16,41.523
NaN,NaN
-124.87,41.503
-124.86,41.495
NaN,NaN
-124.97,41.492
-124.97,41.482
-124.97,41.48
NaN,NaN
-124.16,41.519
-124.15,41.509
NaN,NaN
-124.86,41.491
-124.85,41.481
NaN,NaN
-124.97,41.475
-124.97,41.465
NaN,NaN
-124.15,41.505
-124.15,41.498
-124.14,41.495
NaN,NaN
-124.84,41.478
-124.83,41.465
NaN,NaN
-124.97,41.46
-124.97,41.449
NaN,NaN
-124.14,41.49
-124.14,41.48
NaN,NaN
-124.97,41.444
-124.97,41.434
NaN,NaN
-124.13,41.475
-124.13,41.462
NaN,NaN
-124.92,41.434
-124.91,41.431
NaN,NaN
-124.97,41.429
-124.97,41.419
NaN,NaN
-124.91,41.428
-124.9,41.418
NaN,NaN
-124.97,41.413
-124.97,41.402
NaN,NaN
-124.9,41.414
-124.89,41.405
NaN,NaN
-124.89,41.401
-124.88,41.395
-124.88,41.392
NaN,NaN
-124.97,41.398
-124.97,41.389
-124.97,41.387
NaN,NaN
-124.88,41.387
-124.88,41.38
-124.88,41.376
NaN,NaN
-124.97,41.382
-124.97,41.372
NaN,NaN
-124.97,41.367
-124.97,41.356
NaN,NaN
-124.87,41.371
-124.87,41.368
-124.87,41.359
NaN,NaN
-124.26,41.391
-124.25,41.382
NaN,NaN
-124.97,41.351
-124.97,41.341
NaN,NaN
-124.25,41.378
-124.24,41.369
NaN,NaN
-124.87,41.354
-124.87,41.344
NaN,NaN
-125.03,41.338
-125.03,41.332
-125.03,41.322
NaN,NaN
-124.79,41.347
-124.78,41.339
-124.78,41.337
NaN,NaN
-124.24,41.364
-124.23,41.356
NaN,NaN
-124.97,41.336
-124.97,41.325
NaN,NaN
-124.87,41.339
-124.87,41.334
-124.88,41.328
NaN,NaN
-124.78,41.333
-124.78,41.325
-124.78,41.322
NaN,NaN
-124.23,41.352
-124.22,41.344
NaN,NaN
-125.03,41.318
-125.03,41.307
NaN,NaN
-124.97,41.32
-124.97,41.31
NaN,NaN
-124.88,41.324
-124.88,41.312
NaN,NaN
-124.21,41.341
-124.2,41.334
NaN,NaN
-124.78,41.319
-124.77,41.308
NaN,NaN
-124.97,41.305
-124.97,41.294
NaN,NaN
-125.03,41.302
-125.02,41.291
NaN,NaN
-124.88,41.308
-124.88,41.297
NaN,NaN
-124.2,41.33
-124.19,41.322
NaN,NaN
-124.77,41.304
-124.76,41.29
NaN,NaN
-124.97,41.289
-124.97,41.278
NaN,NaN
-125.02,41.286
-125.02,41.276
NaN,NaN
-124.88,41.292
-124.88,41.285
-124.88,41.282
NaN,NaN
-124.19,41.319
-124.18,41.311
NaN,NaN
-124.17,41.307
-124.16,41.298
NaN,NaN
-124.89,41.277
-124.89,41.275
-124.89,41.266
NaN,NaN
-125.02,41.271
-125.02,41.262
-125.02,41.261
NaN,NaN
-124.97,41.273
-124.97,41.262
NaN,NaN
-124.16,41.294
-124.16,41.289
-124.16,41.288
-124.15,41.285
NaN,NaN
-125.02,41.256
-125.02,41.245
NaN,NaN
-124.89,41.262
-124.89,41.257
-124.89,41.251
NaN,NaN
-125.06,41.24
-125.06,41.228
NaN,NaN
-124.89,41.247
-124.89,41.234
NaN,NaN
-125.05,41.239
-125.04,41.23
NaN,NaN
-125.02,41.24
-125.02,41.23
NaN,NaN
-124.98,41.236
-124.97,41.223
NaN,NaN
-125.04,41.226
-125.04,41.215
NaN,NaN
-125.06,41.224
-125.06,41.212
NaN,NaN
-125.02,41.224
-125.02,41.214
NaN,NaN
-124.88,41.229
-124.88,41.218
NaN,NaN
-124.97,41.218
-124.97,41.205
NaN,NaN
-125.04,41.211
-125.04,41.203
-125.04,41.196
NaN,NaN
-125.06,41.208
-125.05,41.197
NaN,NaN
-125.02,41.209
-125.02,41.199
-125.02,41.196
NaN,NaN
-124.88,41.214
-124.87,41.203
NaN,NaN
-124.87,41.199
-124.87,41.189
-124.86,41.188
NaN,NaN
-124.9,40.958
-124.89,40.949
-124.89,40.947
NaN,NaN
-124.89,40.944
-124.88,40.933
NaN,NaN
-124.65,40.944
-124.64,40.94
NaN,NaN
-124.88,40.928
-124.88,40.922
-124.88,40.918
NaN,NaN
-124.64,40.936
-124.63,40.929
-124.63,40.927
NaN,NaN
-124.87,40.914
-124.87,40.903
NaN,NaN
-124.63,40.923
-124.63,40.917
-124.62,40.915
NaN,NaN
-124.87,40.899
-124.87,40.888
NaN,NaN
-124.87,40.883
-124.86,40.881
-124.86,40.873
NaN,NaN
-124.86,40.868
-124.86,40.857
NaN,NaN
-124.86,40.852
-124.86,40.842
NaN,NaN
-124.84,40.85
-124.84,40.847
-124.84,40.843
NaN,NaN
-124.64,40.849
-124.63,40.845
-124.63,40.84
NaN,NaN
-124.85,40.839
-124.84,40.826
-124.84,40.824
NaN,NaN
-124.83,40.839
-124.83,40.834
-124.83,40.83
NaN,NaN
-124.86,40.837
-124.86,40.826
NaN,NaN
-124.31,40.857
-124.31,40.857
NaN,NaN
-124.31,40.854
-124.3,40.85
NaN,NaN
-124.62,40.837
-124.61,40.83
NaN,NaN
-124.3,40.847
-124.29,40.839
NaN,NaN
-124.82,40.826
-124.82,40.818
-124.82,40.816
NaN,NaN
-124.85,40.822
-124.85,40.811
NaN,NaN
-124.84,40.82
-124.84,40.813
-124.83,40.81
NaN,NaN
-124.61,40.828
-124.6,40.82
-124.6,40.819
NaN,NaN
-124.28,40.836
-124.27,40.827
NaN,NaN
-124.81,40.812
-124.81,40.802
NaN,NaN
-124.67,40.817
-124.66,40.813
NaN,NaN
-124.85,40.806
-124.85,40.796
NaN,NaN
-124.83,40.806
-124.83,40.794
NaN,NaN
-124.66,40.81
-124.65,40.806
NaN,NaN
-124.07,40.831
-124.06,40.818
-124.06,40.807
-124.05,40.785
-124.05,40.774
-124.05,40.764
-124.04,40.754
-124.04,40.744
-124.03,40.739
-124.02,40.717
-124.02,40.705
-124,40.681
-123.99,40.671
-123.99,40.667
NaN,NaN
-124.8,40.797
-124.8,40.794
-124.8,40.793
NaN,NaN
-124.64,40.803
-124.63,40.797
NaN,NaN
-124.85,40.791
-124.85,40.78
NaN,NaN
-124.62,40.795
-124.61,40.789
NaN,NaN
-124.85,40.775
-124.85,40.764
NaN,NaN
-124.85,40.759
-124.84,40.751
-124.84,40.749
NaN,NaN
-124.71,40.76
-124.7,40.75
NaN,NaN
-124.84,40.744
-124.84,40.733
NaN,NaN
-124.69,40.746
-124.69,40.739
-124.68,40.738
-124.68,40.738
NaN,NaN
-124.22,40.757
-124.22,40.756
-124.22,40.754
-124.22,40.752
NaN,NaN
-124.84,40.729
-124.84,40.718
NaN,NaN
-124.68,40.734
-124.68,40.729
-124.67,40.726
NaN,NaN
-124.67,40.722
-124.66,40.713
NaN,NaN
-124.84,40.713
-124.84,40.712
-124.83,40.708
-124.83,40.703
NaN,NaN
-124.66,40.709
-124.65,40.705
-124.65,40.7
NaN,NaN
-124.83,40.698
-124.83,40.693
-124.83,40.692
-124.82,40.682
NaN,NaN
-124.73,40.694
-124.71,40.688
NaN,NaN
-124.2,40.713
-124.2,40.706
-124.2,40.701
-124.19,40.698
NaN,NaN
-124.71,40.685
-124.69,40.68
NaN,NaN
-124.19,40.698
-124.19,40.694
-124.19,40.685
-124.19,40.68
-124.19,40.677
-124.19,40.67
-124.18,40.667
NaN,NaN
-124.69,40.677
-124.68,40.672
NaN,NaN
-124.67,40.669
-124.66,40.666
-124.66,40.663
-124.66,40.663
NaN,NaN
-124.18,40.667
-124.18,40.664
-124.19,40.663
-124.19,40.654
NaN,NaN
-124.19,40.654
-124.18,40.652
-124.17,40.641
-124.16,40.64
NaN,NaN
-124.1,40.59
-124.1,40.584
-124.09,40.578
-124.08,40.572
-124.07,40.568
-124.05,40.557
-124.03,40.551
-124.02,40.543
-124,40.535
-123.99,40.532
NaN,NaN
-125.34,40.398
-125.34,40.398
NaN,NaN
-125.33,40.397
-125.32,40.397
NaN,NaN
-125.31,40.397
-125.3,40.395
NaN,NaN
-125.29,40.394
-125.28,40.394
NaN,NaN
-125.27,40.393
-125.26,40.392
NaN,NaN
-125.25,40.392
-125.24,40.39
NaN,NaN
-125.23,40.39
-125.22,40.389
NaN,NaN
-125.21,40.388
-125.2,40.388
NaN,NaN
-125.19,40.387
-125.18,40.386
NaN,NaN
-125.17,40.386
-125.16,40.385
-125.15,40.385
NaN,NaN
-125.15,40.385
-125.13,40.384
NaN,NaN
-125.13,40.383
-125.11,40.382
NaN,NaN
-125.11,40.381
-125.09,40.38
NaN,NaN
-125.09,40.38
-125.07,40.379
NaN,NaN
-125.07,40.378
-125.05,40.377
NaN,NaN
-125.05,40.376
-125.03,40.374
NaN,NaN
-125.03,40.374
-125.01,40.372
NaN,NaN
-125,40.372
-124.98,40.37
NaN,NaN
-124.98,40.369
-124.97,40.368
NaN,NaN
-124.96,40.367
-124.95,40.366
-124.95,40.366
NaN,NaN
-124.94,40.366
-124.93,40.366
NaN,NaN
-124.92,40.365
-124.9,40.364
NaN,NaN
-124.9,40.364
-124.88,40.363
NaN,NaN
-124.94,40.361
-124.93,40.359
NaN,NaN
-124.88,40.363
-124.86,40.362
NaN,NaN
-124.86,40.362
-124.84,40.361
NaN,NaN
-124.48,40.376
-124.49,40.375
NaN,NaN
-124.47,40.376
-124.45,40.375
-124.45,40.375
NaN,NaN
-124.84,40.361
-124.82,40.36
NaN,NaN
-124.92,40.357
-124.91,40.355
NaN,NaN
-124.5,40.374
-124.51,40.373
NaN,NaN
-124.52,40.373
-124.53,40.372
NaN,NaN
-124.54,40.371
-124.55,40.37
NaN,NaN
-124.82,40.359
-124.8,40.359
NaN,NaN
-124.56,40.369
-124.57,40.367
NaN,NaN
-124.78,40.36
-124.8,40.359
NaN,NaN
-124.78,40.359
-124.76,40.359
NaN,NaN
-124.9,40.353
-124.89,40.349
NaN,NaN
-124.76,40.359
-124.74,40.358
NaN,NaN
-124.58,40.366
-124.59,40.365
NaN,NaN
-124.6,40.364
-124.61,40.362
NaN,NaN
-124.74,40.358
-124.72,40.358
NaN,NaN
-124.72,40.358
-124.7,40.357
NaN,NaN
-124.66,40.359
-124.67,40.358
NaN,NaN
-124.69,40.357
-124.68,40.358
NaN,NaN
-124.88,40.348
-124.87,40.345
-124.87,40.345
NaN,NaN
-124.86,40.344
-124.85,40.34
NaN,NaN
-124.84,40.339
-124.83,40.336
NaN,NaN
-124.82,40.335
-124.81,40.332
NaN,NaN
-124.8,40.331
-124.79,40.328
-124.79,40.328
NaN,NaN
-124.78,40.327
-124.77,40.324
NaN,NaN
-124.76,40.323
-124.75,40.321
NaN,NaN
-124.74,40.319
-124.73,40.317
-124.73,40.317
NaN,NaN
-124.72,40.316
-124.71,40.314
NaN,NaN
-124.7,40.313
-124.69,40.311
NaN,NaN
-124.68,40.31
-124.67,40.309
NaN,NaN
-124.66,40.307
-124.65,40.306
-124.65,40.306
NaN,NaN
-124.64,40.305
-124.63,40.304
NaN,NaN
-124.62,40.303
-124.61,40.302
NaN,NaN
-124.6,40.301
-124.59,40.299
NaN,NaN
-124.58,40.298
-124.57,40.296
NaN,NaN
-124.56,40.294
-124.55,40.291
NaN,NaN
-124.54,40.289
-124.53,40.287
NaN,NaN
-124.53,40.287
-124.5,40.282
NaN,NaN
-124.5,40.282
-124.48,40.278
NaN,NaN
-124.48,40.276
-124.47,40.273
-124.47,40.272
NaN,NaN
-124.46,40.27
-124.45,40.266
NaN,NaN
-124.44,40.264
-124.43,40.26
NaN,NaN
-124.42,40.258
-124.41,40.253
NaN,NaN
-124.41,40.251
-124.39,40.247
NaN,NaN
-124.39,40.248
-124.38,40.247
-124.38,40.245
-124.38,40.243
NaN,NaN
-124.38,40.243
-124.39,40.242
-124.39,40.242
NaN,NaN
-124.38,40.243
-124.38,40.242
-124.38,40.238
NaN,NaN
-124.39,40.239
-124.39,40.239
NaN,NaN
-124.37,40.236
-124.36,40.231
NaN,NaN
-124.35,40.229
-124.34,40.223
NaN,NaN
-124.33,40.221
-124.32,40.211
NaN,NaN
-124.31,40.209
-124.3,40.202
NaN,NaN
-124.3,40.199
-124.29,40.194
NaN,NaN
-124.28,40.194
-124.28,40.194
-124.28,40.191
-124.28,40.19
NaN,NaN
-124.28,40.19
-124.28,40.189
NaN,NaN
-124.28,40.19
-124.28,40.189
-124.27,40.184
NaN,NaN
-124.26,40.181
-124.26,40.179
-124.25,40.173
NaN,NaN
-124.25,40.17
-124.24,40.164
NaN,NaN
-124.23,40.161
-124.22,40.153
NaN,NaN
-124.22,40.15
-124.21,40.142
NaN,NaN
-124.2,40.139
-124.19,40.132
NaN,NaN
-124.18,40.133
-124.18,40.133
-124.18,40.13
-124.19,40.129
-124.19,40.127
-124.18,40.121
NaN,NaN
-124.17,40.119
-124.16,40.111
NaN,NaN
-124.16,40.109
-124.15,40.101
-124.15,40.101
NaN,NaN
-124.14,40.098
-124.13,40.092
NaN,NaN
-124.13,40.089
-124.12,40.083
NaN,NaN
-124.11,40.082
-124.11,40.081
-124.11,40.078
NaN,NaN
-124.11,40.078
-124.11,40.077
NaN,NaN
-124.11,40.078
-124.11,40.076
-124.1,40.072
NaN,NaN
-124.1,40.068
-124.08,40.059
-124.08,40.055
NaN,NaN
-124.07,40.056
-124.07,40.051
NaN,NaN
-124.07,40.05
-124.07,40.048
-124.07,40.041
NaN,NaN
-124.07,40.047
-124.06,40.039
-124.06,40.038
NaN,NaN
-124.06,40.033
-124.06,40.031
-124.05,40.03
-124.05,40.028
NaN,NaN
-124.05,40.021
-124.04,40.008
-124.04,40.008
NaN,NaN
-124.04,40.003
-124.03,39.993
NaN,NaN
-124.03,39.989
-124.02,39.979
NaN,NaN
-124.02,39.975
-124.02,39.964
NaN,NaN
-124.02,39.959
-124.01,39.949
NaN,NaN
-124.01,39.944
-124.01,39.934
NaN,NaN
-124.01,39.929
-124.01,39.916
NaN,NaN
-124,39.911
-124,39.901
NaN,NaN
-124,39.896
-124,39.886
NaN,NaN
-124,39.88
-124,39.87
NaN,NaN
-124,39.865
-124,39.852
NaN,NaN
-124,39.847
-124,39.836
NaN,NaN
-124,39.831
-124,39.82
NaN,NaN
-124,39.815
-124,39.804
NaN,NaN
-124,39.8
-124,39.789
NaN,NaN
-124,39.784
-124,39.774
NaN,NaN
-124,39.769
-124,39.758
NaN,NaN
-124,39.753
-124,39.744
NaN,NaN
-124,39.735
-124,39.727
NaN,NaN
-124,39.722
-124,39.711
NaN,NaN
-124,39.706
-123.99,39.696
-123.99,39.694
NaN,NaN
-123.99,39.69
-123.99,39.679
NaN,NaN
-123.99,39.674
-123.99,39.664
NaN,NaN
-124.12,40.937
-124.12,40.938
NaN,NaN
-124.12,40.926
-124.12,40.927
NaN,NaN
-124.11,40.915
-124.11,40.916
